neighbourhood_group,neighbourhood
Ciutat Vella,el Barri Gòtic
Ciutat Vella,el Raval
Ciutat Vella,la Barceloneta
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
Eixample,el Fort Pienc
Eixample,la Dreta de l'Eixample
Eixample,la Nova Esquerra de l'Eixample
Eixample,l'Antiga Esquerra de l'Eixample
Eixample,la Sagrada Família
Eixample,Sant Antoni
Gràcia,el Camp d'en Grassot i Gràcia Nova
Gràcia,el Coll
Gràcia,la Salut
Gràcia,la Vila de Gràcia
Gràcia,Vallcarca i els Penitents
Horta-Guinardó,Can Baró
Horta-Guinardó,el Baix Guinardó
Horta-Guinardó,el Carmel
Horta-Guinardó,el Guinardó
Horta-Guinardó,Horta
Horta-Guinardó,la Clota
Horta-Guinardó,la Font d'en Fargues
Horta-Guinardó,la Teixonera
Horta-Guinardó,la Vall d'Hebron
Horta-Guinardó,Montbau
Horta-Guinardó,Sant Genís dels Agudells
Les Corts,la Maternitat i Sant Ramon
Les Corts,les Corts
Les Corts,Pedralbes
Nou Barris,Can Peguera
Nou Barris,Canyelles
Nou Barris,Ciutat Meridiana
Nou Barris,el Turó de la Peira
Nou Barris,la Guineueta
Nou Barris,la Prosperitat
Nou Barris,la Trinitat Nova
Nou Barris,les Roquetes
Nou Barris,Porta
Nou Barris,Torre Baró
Nou Barris,Vallbona
Nou Barris,Verdun
Nou Barris,Vilapicina i la Torre Llobeta
Sant Andreu,Baró de Viver
Sant Andreu,el Bon Pastor
Sant Andreu,el Congrés i els Indians
Sant Andreu,la Sagrera
Sant Andreu,la Trinitat Vella
Sant Andreu,Navas
Sant Andreu,Sant Andreu
Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
Sant Martí,el Besòs i el Maresme
Sant Martí,el Camp de l'Arpa del Clot
Sant Martí,el Clot
Sant Martí,el Parc i la Llacuna del Poblenou
Sant Martí,el Poblenou
Sant Martí,la Verneda i la Pau
Sant Martí,la Vila Olímpica del Poblenou
Sant Martí,Provençals del Poblenou
Sant Martí,Sant Martí de Provençals
Sants-Montjuïc,el Poble Sec
Sants-Montjuïc,Hostafrancs
Sants-Montjuïc,la Bordeta
Sants-Montjuïc,la Font de la Guatlla
Sants-Montjuïc,la Marina del Prat Vermell
Sants-Montjuïc,la Marina de Port
Sants-Montjuïc,Sants
Sants-Montjuïc,Sants - Badal
Sarrià-Sant Gervasi,el Putxet i el Farró
Sarrià-Sant Gervasi,les Tres Torres
Sarrià-Sant Gervasi,Sant Gervasi - Galvany
Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
Sarrià-Sant Gervasi,Sarrià
Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
