order_id,product_id,status,quantity,unit_price,shipped_date,shipper_id
1,1004,1,53,0.35,2021-08-15,1
2,1001,2,73,0.29,2022-03-21,2
2,1004,3,10,0.35,2022-02-07,5
2,1006,2,63,5.28,2021-06-09,4
3,1003,1,21,0.50,2021-09-06,1
4,1003,2,85,0.50,2022-06-22,3
4,1010,3,42,0.39,2021-05-13,4
5,1002,1,100,1.89,2022-02-03,2
6,1001,2,35,0.29,2021-11-06,3
6,1002,2,54,1.89,2022-12-23,5
6,1003,3,10,0.50,2022-04-05,1
6,1005,3,55,0.47,2021-05-22,2
7,1003,3,12,0.50,2022-06-26,1
8,1005,2,70,0.47,2021-09-21,5
8,1008,2,96,8.59,2022-11-10,3
9,1006,3,43,5.28,2022-10-15,1
10,1001,1,33,0.29,2022-01-06,1
10,1009,3,23,4.28,2022-07-23,1
